Product Group,Category,Series,SKU,Name,Product life cycle,Description,Sale price in Australia
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22E0084E,A22NE-M-P202-N-B,Key Promotional Product,"E-Stop, push-in, 2NC, 40-dia. head Medium Turn-reset. with integrated control box",99
Inductive Sensors,Compact - cylindrical,E2B,E2B 2144M,E2B-M12KS04-WP-B1 2M OMI,Key Promotional Product,"Proximity sensor, LITE, inductive, nickel-brass, short body, M12, shielded, 4 mm, DC, 3-wire, PNP-NO, 2 m cable",39
Inductive Sensors,Compact - cylindrical,E2B,E2B 2080M,E2B-S08KN04-MC-B1 OMI,Key Promotional Product,"Proximity sensor, LITE, inductive, stainless steel, short body, M8, unshielded, 4 mm, DC, 3-wire, PNP-NO, M8 plug-in (3 pin)",39
Inductive Sensors,Compact - cylindrical,E2B,E2B 2152M,E2B-M12KS04-M1-B1 OMI,Key Promotional Product,"Proximity sensor, LITE, inductive, nickel-brass, short body, M12, shielded, 4 mm, DC, 3-wire, PNP-NO, M12 plug-in",39
Inductive Sensors,Compact - cylindrical,E2B,E2B 2320E,E2B-M18KS08-M1-B1 OMI,Key Promotional Product,"Proximity sensor, LITE, inductive, nickel-brass, short body, M18, shielded, 8 mm, DC, 3-wire, PNP-NO, M12 plug-in",39
Inductive Sensors,Compact - cylindrical,E2B,E2B 2244F,E2B-M30KS15-M1-B1 OMI,Key Promotional Product,"Proximity sensor, LITE, inductive, nickel-brass, short body, M30, shielded, 15 mm, DC, 3-wire, PNP-NO, M12 plug-in",49
Inductive Sensors,Compact - cylindrical,E2E NEXT,E2EN0690H,E2E-X5MC112 2M OMS,Key Promotional Product,"Proximity sensor, inductive, nickel-brass, short body, M12, unshielded, 5 mm, DC, 3-wire, NPN NO, 2 m cable",70
Inductive Sensors,Compact - cylindrical,E2E NEXT,E2EN1707A,E2E-X5B1D18-M1 OMS,Key Promotional Product,"Proximity sensor, inductive, M18, shielded, 5mm, DC, 3-wire, PNP-NO, M12 Connector",80
Inductive Sensors,Compact - cylindrical,E2E NEXT,E2EN1589C,E2E-X16MB1T18-M1 OMS,Key Promotional Product,"Proximity sensor, inductive, nickel-brass, short body, M18, unshielded, 16 mm, DC, 3-wire, PNP NO, IO-Link COM3, M12 connector",80
Inductive Sensors,Compact - cylindrical,E2E NEXT,E2EN0275R,E2E-X2B1T8-M1 OMS,Key Promotional Product,"Proximity sensor, inductive, short SUS body M8, shielded, 2 mm, DC, 3-wire, PNP NO, IO-Link COM3, M12 connector",85
Inductive Sensors,Compact - cylindrical,E2E NEXT,E2EN2318G,E2E-X18MB1D30-M1 OMS,Key Promotional Product,"E2E Next standard proximity sensor, 18mm sensing, M30, DC 3-wire, unshielded, M12 4pin connector, 60mm body size, NO, PNP, IO link COM2",90
Inductive Sensors,Compact - cylindrical,E2E NEXT,E2EN1007G,E2E-X16MB1T12-M1 OMS,Key Promotional Product,"Proximity sensor, inductive, nickel-brass, short body, M12, unshielded, 16 mm, DC, 3-wire, PNP NO, IO-Link COM3, M12 connector",100
Inductive Sensors,Compact - cylindrical,E2E NEXT,E2EN1693H,E2E-X30MB1TL18-M1 OMS,Key Promotional Product,"Proximity sensor, inductive, nickel-brass, long body, M18, unshielded, 30 mm, DC, 3-wire, PNP NO, IO-Link COM3, M12 connector",113
