Product Group,Category,Series,SKU,Name,Product life cycle,Promo Catalogue Print?,Sale price in Australia,Margin,AU24 (FY25 CMSP),AU23 (LIST),AU03 (DIST),AU21 (END),AU04 (CNT),AU05 (WHS),AU06 (PNB),AU07 (TSC),AU08 (RES),AU09 (OEM),FA at 7-04-2025
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A2275021C,A22NZ-H-02,Key Promotional Product,,10,51%,4.854,19.28,6.74,0,15.42,13.48,11.58,6.74,11.58,9.62,19.28
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22E2002A,A22E-M,Key Promotional Product,,19,70%,5.635,83.12,20.78,20.487,66.5,58.18,49.86,29.1,49.86,41.56,83.12
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22E7001M,A22E-M-01,Key Promotional Product,,39,83%,6.445,115.06,43.14,23.828,92.06,80.54,69.04,40.26,69.04,57.54,115.06
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22 9156B,A22Z-EG2,Key Promotional Product,,27,35%,17.487,100.18,37.58,39.17,80.16,70.14,60.12,35.06,60.12,50.08,100.18
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22E0011M,A22NE-M-N,Key Promotional Product,,27,47%,14.289,63.28,31.66,0,56.94,44.28,37.98,31.66,37.98,31.66,31.66
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22E0001B,A22Z-EG1,Key Promotional Product,,27,59%,11.175,141.84,53.2,40.943,113.5,99.3,85.1,49.64,85.1,70.94,141.84
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22E0190F,A22NE-M-PD02-C,Key Promotional Product,,59,52%,28.604,132.84,66.42,40.089,119.56,92.98,79.7,66.42,79.7,66.42,66.42
Emergency stop and control devices,Emergency stop pushbutton switches,A22E/A22NE-P/A22NE-PD,A22E0084E,A22NE-M-P202-N-B,Key Promotional Product,✅,99,62%,37.984,167.44,83.74,33.475,150.7,117.2,100.46,83.74,100.46,83.74,83.74
Safety Switches,Non-contact switches,D40A-2,D40A7002A,D40A-2C2,New Product,,TBC,#VALUE!,#N/A,#N/A,,,,,,,,,
Safety Switches,Non-contact switches,D40A-2,D40A7004H,D40A-2D2,New Product,,TBC,#VALUE!,#N/A,#N/A,,,,,,,,,
Safety Switches,Non-contact switches,D40A-2,D40A7001C,D40A-2C015-F,New Product,,TBC,#VALUE!,#N/A,#N/A,,,,,,,,,
