Series name,Category,Short description,Description,Featured image,Feature set header 1,Feature set description 1,Feature set image 1,Feature set header 2,Feature set description 2,Feature set image 2,Feature set header 3,Feature set description 3,Feature set image 3,Feature set header 4,Feature set description 4,Feature set image 4,Video 1 name,Video 1,Video 2 name,Video 2,Video 3 name,Video 3,Video 4 name,Video 4,Internal document 1 description,Internal document 1
Electrodes and Accessories,Additional Switches,,,,,,,,,,,,,,,,,,,,,,,,,
61F-WL,Level control,Set Sensitivity Freely to Suit the Liquid to Detect,Set Sensitivity Freely to Suit the Liquid to Detect,,,,,,,,,,,,,,,,,,,,,,,
Autonomous Mobile Robot Accessories,Autonomous Mobile Robot,,Autonomous Mobile Robot Accessories,,,,,,,,,,,,,,,,,,,,,,,
H5CC,Digital timers,,"The innovative design guarantees effortless usage, programming, easy maintenance and enhanced user feedback. The intuitive user interface grants visibility and utmost clarity. Additionally, the intelligent timer replacement notification prompts preventive maintenance actions, ensuring optimal performance and longevity.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1ca2ae0324f25a90b56a3c333da060431b20900818382e60565de8909a67be2f.jpg,,,,,,,,,,,,,,,,,,,,,,
61F-GN,Level control,Improved Design for a More Lightweight Construction and Reduced Standby Power Consumption.,,,,,,,,,,,,,,,,,,,,,,,,
CK5M,Control via EtherCAT,,Multi-axis control with a fastest servo cycle time of 50 µs/5 axes enables precision machining,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/ccc6ed942465e1c9df521834ad15b26001fffa2b9c704d9153d0364a9bfe0a67.jpg,,,,,,,,,,,,,,,,,,,,,,
K7DD,Motor condition,Advanced Motor Condition Monitoring Device,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/d31bcd53f5eded1ac5003436cc28f1a410d7b66fcb33ce395b5bc2ef6df93c6a.jpg,,,,,,,,,,,,,,,,,,,,,,
Cobots,Collaborative Robots,"Collaborative robots for assembly, packaging, inspection and logistsics.","Omron TM cobots are geared toward manufacturers seeking to boost production and reduce employee fatigue by automating repetitive tasks such as machine tending, loading and unloading, assembly, screw driving, gluing, testing or soldering. Whether you’re working in automotive, semiconductors, secondary packaging for food, plastics, or machine tools, the Omron TM Collaborative Robot is designed to adapt to almost any industry.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/0763d085137cc4e1ff2f27414e7ca216dd07635e16c281a7a952e0c8ffb4d2a8.jpg,,,,,,,,,,,,,,,,,,,,,,
Collaborative Robot Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
G3RV-ST,Industrial plug-in relays,,"G2RV compatible
LED indicator built in SSR
Push-in plus technology and accessories for easy wiring",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/f4273c14ba5b94d87144564996d9b4b03a69e28fe73c3905f9ace9962de2da11.jpg,,,,,,,,,,,,,,,,,,,,,,
BS-1 and BF Series Electrode Holder,Level control,"Complete Lineup for Use in High-temperature, High-pressure Environments or Where Exposed to Chemicals","Complete Lineup for Use in High-temperature, High-pressure Environments or Where Exposed to Chemicals",,,,,,,,,,,,,,,,,,,,,,,
A2A,Standard pushbutton switches,,,,,,,,,,,,,,,,,,,,,,,,,
NX502,Machine controller,"Machine Automation Controller Up to ten EtherNet/IP networks, ideal for large-scale systems.","NX5 integrates control, information, and safety,Speed up production improvement by utilizing data to boost yield, Real-time link between database server and control, Chronological collection of high-resolution data with fast cycle times, Reduce equipment cycle time while improving quality, and Speed up production line modification to accommodate demand changes",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/5673635fd6953a9286f0c389e5269d5a15e0036245f971be125e2e96f3048c56.jpg,,,,,,,,,,,,,,,,,,,,,,
61F-B,Level control,Surge Killer Units,Surge Killer Units,,,,,,,,,,,,,,,,,,,,,,,
61F-G2P,Level control,,,,,,,,,,,,,,,,,,,,,,,,,
61F-AO,Level control,Alternate Operation Relay,Alternate Operation Relay,,,,,,,,,,,,,,,,,,,,,,,
MKK,Industrial plug-in relays,"Latching Relays Designed for Memory and
Signaling Circuits","Latching Relays Designed for Memory and
Signaling Circuits",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/db0d2cddbd542ae54bf43f618d591b1e210a4ba161c4397f66dca8460b4d07d1.jpg,,,,,,,,,,,,,,,,,,,,,,
Fixed Robot Accessories,Fixed Robot Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
G3DZ,Additional Relays,,,,,,,,,,,,,,,,,,,,,,,,,
G3RZ,Additional Relays,,,,,,,,,,,,,,,,,,,,,,,,,
G3S and G3SD,Additional Relays,,,,,,,,,,,,,,,,,,,,,,,,,
G3TA,Additional Relays,,,,,,,,,,,,,,,,,,,,,,,,,
G6D,Additional Relays,,,,,,,,,,,,,,,,,,,,,,,,,
G9H Hybrid Power Relay,Additional Relays,,Hybridization of a Magnetic Relay and an SSR Achieves 10-A Switching for 10 Million Operations.,,,,,,,,,,,,,,,,,,,,,,,
H3BA-N,Additional Timers,,,,,,,,,,,,,,,,,,,,,,,,,
VB series,Limit switches,,,,,,,,,,,,,,,,,,,,,,,,,
G5V,Additional Relays,,,,,,,,,,,,,,,,,,,,,,,,,
F03-05 and PH,Level control,,,,,,,,,,,,,,,,,,,,,,,,,
D41D,Non-contact switches,High-coded non-contact door switch,"Reducing the risk of interlock devices being deactivated, for a safe and worry-free production site.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/975cd94c0c987a278b0771bb4f6eaf1dbb47a085f7d8a40737986a8c19e837e6.jpg,Preventing from defeating your protection guards,"Amongst the typical methods of deactivating interlock devices includes using a spare actuator and releasing the lock having omitted the correct work procedure. These methods can lead to accidents at a production site. Therefore, we recommend using the correct procedure indicated in the EN ISO 14119 standard to prevent deactivation.",https://8z1xg04k.tinifycdn.com/images/d41d_machine_running_2950x3196_sol.jpg,Simplify your design,"Select the right actuator from three different options, to fit your machine requirements and save space by installing a door switch in narrow spaces or corners inside machinery.",https://assets.omron.com/m/fe6923625883e12/D41-DOverview.jpg,,,,,,,,,,,,,,,Amrits internal documents repo,https://omrongroup-my.sharepoint.com/:f:/r/personal/amrit_ramadugu_omron_com/Documents/OMRON/MARKETING/3.0%20SS%20PMM/SAFETY%20PM/D41/D41D%20sharing?csf=1&web=1&e=9FgRSF
SR1,Safety relay units,Expandable safety monitoring relay with fixed terminals,"Basic, stand alone safety applications require safety relays that are flexible, easy to troubleshoot and simple to install.  The SR1 faimly of safety monitoring relays address all of those needs.  With dedicated safety functions and expansion capabilities, the SR 1 supports the flexibility you need.  Easy to access diagnostic indicators make troubleshooting quick and stress-free while the fixed terminals make installation of the SR1 simple.  The SR1 makes all of machine safety projects easier and provides the protection you need.

Possible accident risk

Economic loss due to production shutdown
Liability for compensation for income lost during shutdown
Production plan disrupted by shortage of alternative personnel
More serious risk of business continuity 

If an industrial accident occurs, the governmentalauthorities may order the company to suspend the work, or suspend or change the use of the machinery.",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/1f10550904f80c021e1db4d478bc28d924fa661d098a6d49cbb6765a1999001d.jpg,,,,,,,,,,,,,,,,,,,,,,
i4L Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay Accessories,Industrial plug-in relays,,Accessories for Plug-in Industrial Relays,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/dd9f921c0e76b0fbea0359018cf6432157f26ad6f51ab05f2eb0ad3323849902.jpg,,,,,,,,,,,,,,,,,,,,,,
Safety Interlock Switches,,,,,,,,,,,,,,,,,,,,,,,,,,
VE series,Limit switches,,,,,,,,,,,,,,,,,,,,,,,,,
NYB,Industrial PC,,"Based on Intel® Atom® to Xeon® processors
Windows 10 IoT Enterprise, Windows Embedded Standard 7 or without operating system
Open operating system allows running customised software and hardware
Ethernet port for access to your IT systems
15.4 and 12.1 inches Industrial monitor
Industrial Box PC and Industrial Panel PC (Industrial Box PC + Monitor integrated) types
Models available with NY Monitor Link interface for connectivity up to 100 m between IPC and Monitor
Optional Hardware RAID",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/6a0e7f581b7cfc20afd9ac029e8edec9bc5878e6f142cbb4ab6651e4bd5837cd.png,,,,,,,,,,,,,,,,,,,,,,
NYP,Industrial PC,,"Based on Intel® Atom® to Intel® Xeon® processors
Windows 10 IoT Enterprise, Windows Embedded Standard 7 or without operating system
Open operating system allows running customised software and hardware
Ethernet port for access to your IT systems
15.4 and 12.1 inches Industrial monitor
Industrial Box PC and Industrial Panel PC (Industrial Box PC + Monitor integrated) types
Models available with NY Monitor Link interface for connectivity up to 100 m between IPC and Monitor",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/d898162ffc3fa531f1afceb3971f235ff6b9515ec9b74c641b986828911eb1a9.jpg,,,,,,,,,,,,,,,,,,,,,,
NY5,Industrial PC,,"Intel Core i5 Quad-core processor
Windows 10 IoT Enterprise 2019 LTSC
Open operating system allows running customised software and hardware
Functions: Logic sequence, Motion and NC
Built-in EtherNet/IP port for your IT systems and machine to machine communication
Sysmac machine controller inside
500 μs system cycle time
Up to 64 synchronized axes
Built-in EtherCAT port for up to 192 synchronized slaves
NC functionality available on Industrial Panel PC*: Ideal for XY cutting, milling, lathe and any other path-following application such as dispensing, bending, grinding and forming machines
 *NC Version mounts Core i7 processor with Windows Embedded Standard 7 64-bit",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/d97ddb651faa17f4cc1c35126267ca6b336d89833e4b0dfc0773b5cfb7ee6fae.png,,,,,,,,,,,,,,,,,,,,,,
Industrial PC accessories,Industrial PC,,,https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/9be45c2792c63925910274dcff94ea4e6efd54ffcdcca61c94e9e42c8fde6f41.jpg,,,,,,,,,,,,,,,,,,,,,,
NYM,Industrial PC,,"12.1, 15.4 and 18.5 inches models
Multi-touch, using the latest projected capacity technology
False touch detection (palm rejection, water and cleaning)
Glove operation (When using gloves, ensure to use gloves that are functional with this touchscreen)
Easy built-in supportive mounting
Models available with NY Monitor Link interface for connectivity up to 100 m between Box PC and Monitor",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/dc942c1bdfa20f22e885d25fc8fa1cddbc9f220b3c15e6265f321f2bad8a9ee4.png,,,,,,,,,,,,,,,,,,,,,,
NX7,Machine controller,,"Fastest cycle time: 125 µs
Number of axes: 256, 128
Two synchronized motion cores
Functions: Logic sequence, Database connection, AI and Motion
Database direct connection: SQL client for server Microsoft SQL, Oracle, IBM DB2, MySQL, Firebird, PostgreSQL
Database direct connection in V2.0 is expanded with stored procedure calls and secure communications functionality
AI Functionality: AI engine included in the controller enables real time utilisation of machine learning model
AI Predictive Maintenance Library enables non-stop equipment
Multi-tasking
Built-in EtherCAT and two EtherNet/IP (1 Gbps) ports
IoT Ready: OPC UA server built-in as standard feature, variable structures are supported",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/57d31ce923d8eebeef9b4f62b3cf7d8094b2d3563aadedcc84f28a483319d87d.jpg,,,,,,,,,,,,,,,,,,,,,,
NJ5,Machine controller,,"Fastest cycle time: 500 µs
Number of axes: 64, 32, 16
Synchronized motion core
Functions: Logic sequence, Motion, CNC, Robotics, Database connection, SECS/GEM and OPC-UA
Database direct connection in V2.0 is expanded with stored procedure calls and secure communications functionality
Database direct connection: SQL client for server Microsoft SQL, Oracle, IBM DB2, MySQL, Firebird, PostgreSQL
Delta, SCARA and Cartesian robots control
CNC functionality: Ideal for XY cutting, milling, lathe and any other path-following application such as dispensing, bending, grinding and forming machines
Multi-tasking
Built-in EtherCAT and EtherNet/IP ports
EtherCAT Ring topology is supported to maintain communications and control in case of a broken cable or device failure",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/fc0537937472109882df26ce3c43556745264765f1d25bc9fb5dd07ee8fba192.jpg,,,,,,,,,,,,,,,,,,,,,,
NJ3,Machine controller,,"Fastest cycle time: 500 µs
Number of axes: 8, 4
Synchronized motion core
Functions: Logic sequence and Motion
Multi-tasking
Built-in EtherCAT and EtherNet/IP ports
EtherCAT Ring topology is supported to maintain communications and control in case of a broken cable or device failure",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/5526c080520ba8e323c4f14ecea910643d43c0bf943b5b073bb1463f4d27a5e6.jpg,,,,,,,,,,,,,,,,,,,,,,
NJ1,Machine controller,,"Fastest cycle time: 1 ms
Number of axes: 2
Synchronized motion core
Functions: Logic sequence, Motion and Database connection
Database direct connection in V2.0 is expanded with stored procedure calls and secure communications functionality
Database direct connection: SQL client for server Microsoft SQL, Oracle, IBM DB2, MySQL, Firebird, PostgreSQL
Multi-tasking
Built-in EtherCAT and EtherNet/IP ports
DB connection: SQL client for Microsoft SQL server, Oracle, IBM DB2, MySQL, Firebird
EtherCAT Ring topology is supported to maintain communications and control in case of a broken cable or device failure",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/a504a5925155550aef4898bac6061f0dd07d0ed833ad61a997bfef988a4ab8b5.jpg,,,,,,,,,,,,,,,,,,,,,,
NX1P,Machine controller,,"Fastest cycle time: 2 ms
Functions: Logic sequence and Motion control
Up to 8 axes (4 synchronized axes)
Built-in I/O: 40 or 24 I/O points
Up to 8 local NX I/O units
Built-in EtherCAT and EtherNet/IP ports
Up to 16 EtherCAT slaves
Up to 2 option boards can be connected to add serial communications or analog I/O functionality
EtherCAT Ring topology is supported to maintain communications and control in case of a broken cable or device failure
NX1P supports MQTT (S) communication using MQTT Communication Library",https://public-bucket-stored-files.s3.ap-southeast-2.amazonaws.com/7b7de3900609b9fe51fe53653952737745399b0c4d3ad1f0bb0c4449a7603ca7.png,,,,,,,,,,,,,,,,,,,,,,
Machine controller accessories,Machine controller,,,,,,,,,,,,,,,,,,,,,,,,,
